Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)

1000000;ACTIVOS;163.281;12.625;0;584.026;759.932
1100000;EFECTIVO Y DEPOSITOS EN BANCOS;1.803;0;0;20.417;22.220
1100100;Efectivo;0;0;0;0;0
1100200;Depósitos en el Banco Central de Chile;16;0;0;4.299;4.315
1100300;Depósitos en bancos del país;1.787;0;0;187;1.974
1100400;Depósitos en el exterior;0;0;0;15.931;15.931
1130000;OPERACIONES CON LIQUIDACION EN CURSO;0;0;0;0;0
1130100;Documentos a cargo de otros bancos (canje);0;0;0;0;0
1130200;Transferencias de fondos en curso;0;0;0;0;0
1150000;INSTRUMENTOS PARA NEGOCIACIÓN;8.007;0;0;0;8.007
1150100;Del Estado y Banco Central de Chile;3.516;0;0;0;3.516
1150200;Otros instrumentos emitidos en el país;4.491;0;0;0;4.491
1150300;Instrumentos emitidos en el exterior;0;0;0;0;0
1150400;Inversiones en Fondos Mutuos;0;0;0;0;0
1160000;CONTRATOS DE RETROCOMPRA Y PRÉSTAMOS DE VALORES;0;0;0;0;0
1160100;Operaciones con bancos del país;0;0;0;0;0
1160200;Operaciones con otras entidades;0;0;0;0;0
1250000;CONTRATOS DE DERIVADOS FINANCIEROS;2.713;0;0;0;2.713
1250100;Contratos de negociación;2.713;0;0;0;2.713
1250200;Contratos para cobertura contable;0;0;0;0;0
1270000;ADEUDADO POR BANCOS;0;0;0;0;0
1270100;Banco del país;0;0;0;0;0
1270112;Préstamos interbancarios de liquidez;0;0;0;0;0
1270113;Préstamos interbancarios comerciales;0;0;0;0;0
1270116;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270117;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270118;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270190;Provisiones para créditos con bancos del país;0;0;0;0;0
1270200;Bancos del exterior;0;0;0;0;0
1270202;Préstamos interbancarios de liquidez;0;0;0;0;0
1270203;Préstamos interbancarios comerciales;0;0;0;0;0
1270206;Créditos comercio exterior exportaciones chilenas;0;0;0;0;0
1270207;Créditos comercio exterior importaciones chilenas;0;0;0;0;0
1270208;Créditos comercio exterior entre terceros países;0;0;0;0;0
1270290;Provisiones para créditos con bancos del exterior;0;0;0;0;0
1270300;Banco Central de Chile;0;0;0;0;0
