
Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
4100451;Reajustes de préstamos con letras de crédito;0;0;0;0;0
4100452;Reajustes de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100455;Reajustes de préstamos con MHE;0;0;0;0;0
4100457;Reajustes de otros mutuos para vivienda;0;0;0;0;0
4100458;Reajustes de créditos ANAP;0;0;0;0;0
4100480;Reajustes por leasing para vivienda;0;0;0;0;0
4100490;Reajustes de otros créditos para vivienda;0;0;0;0;0
4100499;Comisiones por prepago de créditos para vivienda;0;0;0;0;0
4100500;Colocaciones de consumo;0;0;0;0;0
4100501;Intereses de créditos de consumo en cuotas;0;0;0;0;0
4100510;Intereses de créditos en cuentas corrientes;0;0;0;0;0
4100520;Intereses de créditos por tarjetas de crédito;0;0;0;0;0
4100530;Intereses por leasing de consumo;0;0;0;0;0
4100540;Intereses de otros créditos de consumo;0;0;0;0;0
4100590;Reajustes colocaciones de consumo;0;0;0;0;0
4100599;Comisiones por prepago de créditos de consumo;0;0;0;0;0
4100600;Instrumentos de inversión;0;0;0;0;0
4100601;Intereses de inversiones disponibles para la venta;0;0;0;0;0
4100621;Intereses de inversiones hasta el vencimiento;0;0;0;0;0
4100651;Reajustes de inversiones disponibles para la venta;0;0;0;0;0
4100671;Reajustes de inversiones hasta el vencimiento;0;0;0;0;0
4100800;Otros ingresos por intereses o reajustes;155;0;0;56;211
4100801;Intereses por saldos en cuentas corrientes;0;0;0;56;56
4100804;Intereses operaciones overnight;0;0;0;0;0
4100810;Otros intereses ganados;155;0;0;0;155
4100850;Otros reajustes ganados;0;0;0;0;0
4100900;Resultado de coberturas contables;0;0;0;0;0
4150000;GASTOS POR INTERESES Y REAJUSTES;-103;0;0;-670;-773
4150100;Depósitos a la vista;0;0;0;0;0
4150101;Intereses por cuentas corrientes;0;0;0;0;0
4150102;Intereses por otros depósitos y cuentas a la vista;0;0;0;0;0
4150103;Intereses por otras obligaciones a la vista;0;0;0;0;0
4150151;Reajustes por obligaciones a la vista;0;0;0;0;0
4150200;Contratos de retrocompra;0;0;0;0;0
4150201;Intereses;0;0;0;0;0
4150251;Reajustes;0;0;0;0;0
4150300;Depósitos y captaciones a plazo;-61;0;0;-380;-441
4150301;Intereses por depósitos a plazo;-61;0;0;-380;-441
4150302;Intereses por cuentas de ahorro a plazo;0;0;0;0;0
4150309;Intereses de otros saldos acreedores a plazo;0;0;0;0;0
4150351;Reajustes por depósitos a plazo;0;0;0;0;0
4150352;Reajustes por cuentas de ahorro a plazo;0;0;0;0;0
4150359;Reajustes de otros saldos acreedores a plazo;0;0;0;0;0
4150400;Obligaciones con bancos;0;0;0;-290;-290
4150401;Intereses;0;0;0;-290;-290
4150451;Reajustes;0;0;0;0;0
4150500;Instrumentos de deuda emitidos;0;0;0;0;0
4150501;Intereses por letras de crédito;0;0;0;0;0
4150511;Intereses por bonos corrientes;0;0;0;0;0
4150521;Intereses por bonos subordinados;0;0;0;0;0
4150522;Intereses por bonos hipotecarios;0;0;0;0;0
4150551;Reajustes por letras de crédito;0;0;0;0;0
4150561;Reajustes por bonos corrientes;0;0;0;0;0
4150571;Reajustes por bonos subordinados;0;0;0;0;0
4150572;Reajustes por bonos hipotecarios;0;0;0;0;0
4150600;Otras obligaciones financieras;0;0;0;0;0
4150601;Intereses;0;0;0;0;0
4150651;Reajustes;0;0;0;0;0
4150700;Obligaciones por contratos de arrendamiento;-42;0;0;0;-42
4150701;Intereses;-50;0;0;0;-50
4150751;Reajustes;8;0;0;0;8
4150800;Otros gastos por intereses o reajustes;0;0;0;0;0
4150801;Intereses;0;0;0;0;0
4150851;Reajustes;0;0;0;0;0
4150900;Resultado de coberturas contables;0;0;0;0;0
4200000;INGRESOS POR COMISIONES;280;0;0;511;791
4200100;Comisiones por líneas de crédito y sobregiros;0;0;0;0;0
4200200;Comisiones por avales y cartas de crédito;5;0;0;0;5
4200300;Comisiones por servicios de tarjetas;0;0;0;0;0
4200303;Tarjetas de cajeros automáticos;0;0;0;0;0
4200304;Tarjetas de crédito-comisiones a titulares;0;0;0;0;0
4200305;Tarjetas de crédito-comisiones de establecimientos;0;0;0;0;0
4200306;Tarjetas de débito-comisiones de titulares;0;0;0;0;0
4200307;Tarjetas de débito-comisiones de establecimientos;0;0;0;0;0
4200309;Otras tarjetas;0;0;0;0;0
4200400;Comisiones por administración de cuentas;0;0;0;1;1
4200500;Comisiones por cobranzas, recaudaciones y pagos;0;0;0;0;0
4200600;Comisiones por intermediación y manejo de valores;0;0;0;0;0
4200700;Comisiones por inversiones en fondos mutuos u otros;0;0;0;0;0
4200800;Remuneraciones por comercialización de seguros;0;0;0;0;0
4200900;Otras comisiones ganadas;275;0;0;510;785
4250000;GASTOS POR COMISIONES;0;0;0;-11;-11
4250100;Remuneraciones por operación de tarjetas;0;0;0;0;0
4250101;Comisiones por operación de tarjetas de crédito;0;0;0;0;0
4250102;Comisiones por operación de tarjetas de débito y cajeros;0;0;0;0;0
4250190;Otras;0;0;0;0;0
4250200;Comisiones por operación con valores;0;0;0;0;0
4250300;Otras comisiones;0;0;0;-11;-11
4300000;UTILIDAD NETA DE OPERACIONES FINANCIERAS;-2.670;0;0;0;-2.670
4300100;Instrumentos financieros para negociación;0;0;0;0;0
4300101;Intereses y reajustes;0;0;0;0;0
4300102;Ajuste a valor razonable;0;0;0;0;0
4300103;Utilidad por venta;0;0;0;0;0
4300104;Pérdida por venta;0;0;0;0;0
4300190;Resultado inversiones en Fondos Mutuos;0;0;0;0;0
4300200;Derivados de negociación;-2.670;0;0;0;-2.670
4300300;Venta de instrumentos disponibles para la venta;0;0;0;0;0
4300400;Venta de cartera de créditos;0;0;0;0;0
4300500;Resultado neto de otras operaciones;0;0;0;0;0
4350000;UTILIDAD (PÉRDIDA) DE CAMBIO NETA;3.535;0;0;0;3.535
4350100;Resultado neto de cambio monedas extranjeras;3.535;0;0;0;3.535
4350200;Resultados neto por reajustes por tipo de cambio;0;0;0;0;0
4350900;Resultado de coberturas contables;0;0;0;0;0
4400000;OTROS INGRESOS OPERACIONALES;29;0;0;1;30
4400100;Ingresos por bienes recibidos en pago;0;0;0;0;0
4400200;Liberación de provisiones por contingencias;15;0;0;0;15
4400290;Otras provisiones por contingencias;0;0;0;0;0
4400300;Otros ingresos;14;0;0;1;15
4500000;PROVISIONES POR RIESGO DE CREDITO;-1.391;0;0;0;-1.391
4500100;Provisiones para créditos y cuentas por cobrar;63;0;0;0;63
4500101;Provisiones colocaciones comerciales;63;0;0;0;63
4500111;Provisiones colocaciones para vivienda;0;0;0;0;0
4500112;Provisiones colocaciones de consumo;0;0;0;0;0
4500190;Provisiones para créditos otorgados a bancos;0;0;0;0;0
4500191;Provisiones por deducible de garantÌas FOGAPE Covid-19;0;0;0;0;0
4500200;Provisiones para créditos contingentes;-1.454;0;0;0;-1.454
4500700;Provisiones adicionales;0;0;0;0;0
4500701;Provisiones adicionales colocaciones comerciales;0;0;0;0;0
4500702;Provisiones adicionales colocaciones para vivienda;0;0;0;0;0
4500703;Provisiones adicionales colocaciones de consumo;0;0;0;0;0
4500800;Ajuste a provisión mínima cartera normal;0;0;0;0;0
4500801;Ajuste a provisión mínima adeudado por bancos;0;0;0;0;0
4500802;Ajuste a provisión mínima colocaciones comerciales;0;0;0;0;0
4500803;Ajuste a provisión mínima créditos contingentes;0;0;0;0;0
4500900;Recuperación de créditos castigados;0;0;0;0;0
4500901;Recuperación de créditos comerciales castigados;0;0;0;0;0
4500911;Recuperación de créditos para vivienda castigados;0;0;0;0;0
4500921;Recuperación de créditos de consumo castigados;0;0;0;0;0
4500931;Recuperación de otros créditos castigados;0;0;0;0;0
4600000;REMUNERACIONES Y GASTOS DEL PERSONAL;-3.057;0;0;-24;-3.081
4610000;GASTOS DE ADMINISTRACIÓN;-924;0;0;-43;-967
4610100;Gastos generales de administración;-554;0;0;-43;-597
4610200;Servicios subcontratados;-4;0;0;0;-4
4610300;Gastos del Directorio;0;0;0;0;0
4610400;Publicidad y propaganda;-1;0;0;0;-1
4610500;Impuestos, contribuciones y aportes;-365;0;0;0;-365
4620000;DEPRECIACIONES Y AMORTIZACIONES;-391;0;0;0;-391
4630000;DETERIOROS;0;0;0;0;0
4650000;OTROS GASTOS OPERACIONALES;0;0;0;0;0
4650100;Provisiones y gastos por bienes recibidos en pago;0;0;0;0;0
4650200;Provisiones por contingencias;0;0;0;0;0
4650201;Provisiones por riesgo país;0;0;0;0;0
4650211;Provisiones especiales para créditos al exterior;0;0;0;0;0
4650290;Otras provisiones por contingencias;0;0;0;0;0
4650900;Otros gastos;0;0;0;0;0
4700000;RESULTADO POR INVERSIONES EN SOCIEDADES;0;0;0;0;0
4700100;Utilidades por inversiones en sociedades;0;0;0;0;0
4700101;Sucursales en el exterior;0;0;0;0;0
4700103;Sociedades con influencia significativa;0;0;0;0;0
4700110;Percibido por acciones y derechos en otras sociedades;0;0;0;0;0
4700200;Pérdidas por inversiones en sociedades;0;0;0;0;0
4700201;Sucursales en el exterior;0;0;0;0;0
4700203;Sociedades con influencia significativa;0;0;0;0;0
4700210;Ajustes por deterioro de inversiones en sociedades;0;0;0;0;0
4800000;IMPUESTO A LA RENTA;380;0;0;0;380
4800001;Provisión impuesto a la renta;0;0;0;0;0
4850000;RESULTADO DE OPERACIONES DESCONTINUADAS;0;0;0;0;0
4900000;INTERES NO CONTROLADOR;0;0;0;0;0
5003000;INGRESO NETO POR INTERESES Y REAJUSTES;2.397;601;0;542;3.540
5004000;INGRESO NETO POR COMISIONES;280;0;0;500;780
5005000;TOTAL INGRESOS OPERACIONALES;3.571;601;0;1.043;5.215
5006000;INGRESO OPERACIONAL NETO;2.180;601;0;1.043;3.824
5007000;RESULTADO OPERACIONAL;-2.192;601;0;976;-615
5008000;RESULTADO ANTES DE IMPUESTO A LA RENTA;-2.192;601;0;976;-615
5009000;RESULTADO DE OPERACIONES CONTINUAS;-1.812;601;0;976;-235
5010000;UTILIDAD (PERDIDA) CONSOLIDADA DEL EJERCICIO;-1.812;601;0;976;-235
5020000;RESULTADO DE LOS PROPIETARIOS;-1.812;601;0;976;-235
