
Código Contable;Descripción;Moneda chilena no reajustable;Moneda chilena reajustable por factores de IPC;Moneda chilena reajustables por tipo de cambio;Moneda Extranjera;Total (suma de todas las monedas)
 
4100000;INGRESOS POR INTERESES Y REAJUSTES;3.569;93;0;1.983;5.645
4100100;Contratos de retrocompra;0;0;0;0;0
4100101;Intereses;0;0;0;0;0
4100151;Reajustes;0;0;0;0;0
4100200;Créditos otorgados a bancos;77;0;0;345;422
4100201;Intereses;77;0;0;345;422
4100251;Reajustes;0;0;0;0;0
4100300;Colocaciones comerciales;496;93;0;1.316;1.905
4100301;Intereses de préstamos comerciales;407;93;0;1.070;1.570
4100309;Intereses de créditos de comercio exterior;0;0;0;246;246
4100310;Intereses de créditos en cuentas corrientes;0;0;0;0;0
4100320;Intereses de operaciones de factoraje;0;0;0;0;0
4100325;Intereses de préstamos estudiantiles;0;0;0;0;0
4100330;Intereses por leasing comercial;0;0;0;0;0
4100340;Intereses de otros créditos y cuentas por cobrar;0;0;0;0;0
4100351;Reajustes de préstamos comerciales;89;0;0;0;89
4100359;Reajustes de créditos de comercio exterior;0;0;0;0;0
4100360;Reajustes de créditos en cuentas corrientes;0;0;0;0;0
4100370;Reajustes de operaciones de factoraje;0;0;0;0;0
4100375;Reajustes de préstamos estudiantiles;0;0;0;0;0
4100380;Reajustes por leasing comercial;0;0;0;0;0
4100390;Reajustes de otros créditos y cuentas por cobrar;0;0;0;0;0
4100399;Comisiones por prepago de créditos comerciales;0;0;0;0;0
4100400;Colocaciones para vivienda;0;0;0;0;0
4100401;Intereses de préstamos con letras de crédito;0;0;0;0;0
4100402;Comisiones de préstamos con letras de crédito;0;0;0;0;0
4100403;Intereses de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100405;Intereses de préstamos con MHE;0;0;0;0;0
4100407;Intereses de otros mutuos para vivienda;0;0;0;0;0
4100408;Intereses de créditos ANAP;0;0;0;0;0
4100420;Intereses por leasing para vivienda;0;0;0;0;0
4100430;Intereses de otros créditos para vivienda;0;0;0;0;0
4100451;Reajustes de préstamos con letras de crédito;0;0;0;0;0
4100452;Reajustes de prestamos con mutuos financiados con bonos hipotecarios;0;0;0;0;0
4100455;Reajustes de préstamos con MHE;0;0;0;0;0
4100457;Reajustes de otros mutuos para vivienda;0;0;0;0;0
4100458;Reajustes de créditos ANAP;0;0;0;0;0
4100480;Reajustes por leasing para vivienda;0;0;0;0;0
4100490;Reajustes de otros créditos para vivienda;0;0;0;0;0
4100499;Comisiones por prepago de créditos para vivienda;0;0;0;0;0
4100500;Colocaciones de consumo;0;0;0;0;0
4100501;Intereses de créditos de consumo en cuotas;0;0;0;0;0
4100510;Intereses de créditos en cuentas corrientes;0;0;0;0;0
4100520;Intereses de créditos por tarjetas de crédito;0;0;0;0;0
4100530;Intereses por leasing de consumo;0;0;0;0;0
4100540;Intereses de otros créditos de consumo;0;0;0;0;0
4100590;Reajustes colocaciones de consumo;0;0;0;0;0
4100599;Comisiones por prepago de créditos de consumo;0;0;0;0;0
4100600;Instrumentos de inversión;1.915;0;0;249;2.164
4100601;Intereses de inversiones disponibles para la venta;1.915;0;0;127;2.042
4100621;Intereses de inversiones hasta el vencimiento;0;0;0;122;122
4100651;Reajustes de inversiones disponibles para la venta;0;0;0;0;0
4100671;Reajustes de inversiones hasta el vencimiento;0;0;0;0;0
4100800;Otros ingresos por intereses o reajustes;1.081;0;0;73;1.154
4100801;Intereses por saldos en cuentas corrientes;1.081;0;0;73;1.154
4100804;Intereses operaciones overnight;0;0;0;0;0
4100810;Otros intereses ganados;0;0;0;0;0
4100850;Otros reajustes ganados;0;0;0;0;0
4100900;Resultado de coberturas contables;0;0;0;0;0
4150000;GASTOS POR INTERESES Y REAJUSTES;-2.122;-23;0;-672;-2.817
4150100;Depósitos a la vista;0;0;0;0;0
4150101;Intereses por cuentas corrientes;0;0;0;0;0
4150102;Intereses por otros depósitos y cuentas a la vista;0;0;0;0;0
4150103;Intereses por otras obligaciones a la vista;0;0;0;0;0
4150151;Reajustes por obligaciones a la vista;0;0;0;0;0
4150200;Contratos de retrocompra;0;0;0;0;0
4150201;Intereses;0;0;0;0;0
4150251;Reajustes;0;0;0;0;0
4150300;Depósitos y captaciones a plazo;-2.122;-23;0;-652;-2.797
4150301;Intereses por depósitos a plazo;-2.060;-23;0;-652;-2.735
4150302;Intereses por cuentas de ahorro a plazo;0;0;0;0;0
4150309;Intereses de otros saldos acreedores a plazo;0;0;0;0;0
4150351;Reajustes por depósitos a plazo;-62;0;0;0;-62
4150352;Reajustes por cuentas de ahorro a plazo;0;0;0;0;0
4150359;Reajustes de otros saldos acreedores a plazo;0;0;0;0;0
4150400;Obligaciones con bancos;0;0;0;-20;-20
4150401;Intereses;0;0;0;-20;-20
4150451;Reajustes;0;0;0;0;0
4150500;Instrumentos de deuda emitidos;0;0;0;0;0
4150501;Intereses por letras de crédito;0;0;0;0;0
4150511;Intereses por bonos corrientes;0;0;0;0;0
4150521;Intereses por bonos subordinados;0;0;0;0;0
4150522;Intereses por bonos hipotecarios;0;0;0;0;0
4150551;Reajustes por letras de crédito;0;0;0;0;0
4150561;Reajustes por bonos corrientes;0;0;0;0;0
4150571;Reajustes por bonos subordinados;0;0;0;0;0
4150572;Reajustes por bonos hipotecarios;0;0;0;0;0
